company_name,stock_code
YANGZIJIANG SHIPBUILDING (HOLDINGS) LTD,BS6
RAFFLES MEDICAL GROUP LTD,BSL
BUND CENTER INVESTMENT LTD,BTE
DEBAO PROPERTY DEVELOPMENT LTD,BTF
HG METAL MANUFACTURING LTD,BTG
A-SONIC AEROSPACE LTD,BTJ
PENGUIN INTERNATIONAL LTD,BTM
MANULIFE US REIT,BTOU
BAKER TECHNOLOGY LTD,BTP
ANCHUN INTERNATIONAL HLDGS LTD,BTX
FULL APEX (HLDGS) ,BTY
FRASERS LOGISTICS AND COMMERCIAL TRUST,BUOU
PROCURRI CORPORATION LTD,BVQ
EC WORLD REIT,BWCU
ZHENENG JINJIANG ENV HLDG CO,BWM
CDW HOLDING LTD,BXE
BIOLIDICS LTD,BYY
COMPACT METAL INDUSTRIES LTD,C02
CASA HOLDINGS LTD,C04
CHEMICAL INDUSTRIES (FAR EAST) LTD,C05
CSC HOLDINGS LTD,C06
JARDINE CYCLE & CARRIAGE LTD,C07
CITY DEVELOPMENTS LTD,C09
CHINA HONGCHENG HLDGS LTD,C0Z
CHOSEN HLDGS LTD,C10
CH OFFSHORE LTD.,C13
CWT,C14
CEREBOS PACIFIC LTD,C20
CHINA MERCHANTS HLDGS (PACIFIC) LTD,C22
CHIP ENG SENG CORPORATION LTD,C29
SUNMART HOLDINGS LIMITED,C2J
PARKWAYLIFE REIT,C2PU
CAPITALAND LTD,C31
CHUAN HUP HOLDINGS LIMITED,C33
CREATIVE MASTER BERMUDA LTD,C35
CAPITALAND MALL TRUST,C38U
CORTINA HOLDINGS LTD,C41
CHEUNG WOH TECHNOLOGIES LTD,C50
COMFORTDELGRO CORPORATION LTD,C52
CAPITALAND COMMERCIAL TRUST,C61U
SINGAPORE AIRLINES LTD,C6L
CHINA PAPER HOLDINGS LIMITED,C71
CREATIVE TECHNOLOGY LTD,C76
JIUTIAN CHEMICAL GROUP LTD,C8R
CHINA HAIDA LTD,C92
